Issued At,Date,Min Temperature (C),Max Temperature (C),Possible Rainfall (mm)
5:16 am EDT on Thursday 19 January 2023,Saturday 21 January,15,29,
5:16 am EDT on Thursday 19 January 2023,Sunday 22 January,16,31,
5:16 am EDT on Thursday 19 January 2023,Monday 23 January,16,32,
5:16 am EDT on Thursday 19 January 2023,Tuesday 24 January,17,28,0 to 2 mm     Chance of any rain
5:16 am EDT on Thursday 19 January 2023,Wednesday 25 January,16,29,
5:30 am EDT on Thursday 19 January 2023,the rest of Thursday 19 January,,23,
5:30 am EDT on Thursday 19 January 2023,Friday 20 January,10,29,
5:30 am EDT on Thursday 19 January 2023,Saturday 21 January,15,29,
5:30 am EDT on Thursday 19 January 2023,Sunday 22 January,16,31,
5:30 am EDT on Thursday 19 January 2023,Monday 23 January,16,32,
5:30 am EDT on Thursday 19 January 2023,Tuesday 24 January,17,28,0 to 2 mm     Chance of any rain
5:30 am EDT on Thursday 19 January 2023,Wednesday 25 January,16,29,
4:30 pm EDT on Thursday 19 January 2023,the rest of Thursday 19 January,,,
4:30 pm EDT on Thursday 19 January 2023,Friday 20 January,10,28,
4:30 pm EDT on Thursday 19 January 2023,Saturday 21 January,14,29,
4:30 pm EDT on Thursday 19 January 2023,Sunday 22 January,15,30,
4:30 pm EDT on Thursday 19 January 2023,Monday 23 January,15,30,
4:30 pm EDT on Thursday 19 January 2023,Tuesday 24 January,16,29,
4:30 pm EDT on Thursday 19 January 2023,Wednesday 25 January,14,33,
4:30 pm EDT on Thursday 19 January 2023,Thursday 26 January,16,31,
5:30 am EDT on Friday 20 January 2023,the rest of Friday 20 January,,28,
5:30 am EDT on Friday 20 January 2023,Saturday 21 January,14,29,
5:30 am EDT on Friday 20 January 2023,Sunday 22 January,15,30,
5:30 am EDT on Friday 20 January 2023,Monday 23 January,15,30,
5:30 am EDT on Friday 20 January 2023,Tuesday 24 January,16,29,
5:30 am EDT on Friday 20 January 2023,Wednesday 25 January,14,33,
5:30 am EDT on Friday 20 January 2023,Thursday 26 January,16,31,
4:30 pm EDT on Friday 20 January 2023,the rest of Friday 20 January,,,
4:30 pm EDT on Friday 20 January 2023,Saturday 21 January,15,29,
4:30 pm EDT on Friday 20 January 2023,Sunday 22 January,15,29,
4:30 pm EDT on Friday 20 January 2023,Monday 23 January,15,30,
4:30 pm EDT on Friday 20 January 2023,Tuesday 24 January,16,30,0 to 0.2 mm   Chance of any rain
4:30 pm EDT on Friday 20 January 2023,Wednesday 25 January,15,35,
4:30 pm EDT on Friday 20 January 2023,Thursday 26 January,18,31,
4:30 pm EDT on Friday 20 January 2023,Friday 27 January,14,34,
5:30 am EDT on Saturday 21 January 2023,the rest of Saturday 21 January,,29,
5:30 am EDT on Saturday 21 January 2023,Sunday 22 January,15,29,
5:30 am EDT on Saturday 21 January 2023,Monday 23 January,15,30,
5:30 am EDT on Saturday 21 January 2023,Tuesday 24 January,16,30,0 to 0.2 mm   Chance of any rain
5:30 am EDT on Saturday 21 January 2023,Wednesday 25 January,15,35,
5:30 am EDT on Saturday 21 January 2023,Thursday 26 January,18,31,
5:30 am EDT on Saturday 21 January 2023,Friday 27 January,14,34,
4:30 pm EDT on Saturday 21 January 2023,the rest of Saturday 21 January,,,
4:30 pm EDT on Saturday 21 January 2023,Sunday 22 January,15,28,0 to 2 mm     Chance of any rain
4:30 pm EDT on Saturday 21 January 2023,Monday 23 January,14,29,
4:30 pm EDT on Saturday 21 January 2023,Tuesday 24 January,16,29,
4:30 pm EDT on Saturday 21 January 2023,Wednesday 25 January,15,33,
4:30 pm EDT on Saturday 21 January 2023,Thursday 26 January,16,31,
4:30 pm EDT on Saturday 21 January 2023,Friday 27 January,15,35,
4:30 pm EDT on Saturday 21 January 2023,Saturday 28 January,20,39,
5:30 am EDT on Sunday 22 January 2023,the rest of Sunday 22 January,,28,
5:30 am EDT on Sunday 22 January 2023,Monday 23 January,14,29,
5:30 am EDT on Sunday 22 January 2023,Tuesday 24 January,16,29,
5:30 am EDT on Sunday 22 January 2023,Wednesday 25 January,15,33,
5:30 am EDT on Sunday 22 January 2023,Thursday 26 January,16,31,
5:30 am EDT on Sunday 22 January 2023,Friday 27 January,15,35,
5:30 am EDT on Sunday 22 January 2023,Saturday 28 January,20,39,
4:30 pm EDT on Sunday 22 January 2023,the rest of Sunday 22 January,,,
4:30 pm EDT on Sunday 22 January 2023,Monday 23 January,14,30,
4:30 pm EDT on Sunday 22 January 2023,Tuesday 24 January,16,28,0 to 3 mm     Chance of any rain
4:30 pm EDT on Sunday 22 January 2023,Wednesday 25 January,14,33,
4:30 pm EDT on Sunday 22 January 2023,Thursday 26 January,16,31,
4:30 pm EDT on Sunday 22 January 2023,Friday 27 January,13,32,
4:30 pm EDT on Sunday 22 January 2023,Saturday 28 January,17,38,
